id_poliza,id_asegurado,numero_poliza,ramo,fecha_inicio_vigencia,fecha_fin_vigencia,monto_asegurado,suma_asegurada,prima,deducible,canal_venta,ciudad,tipo_cobertura,estado_poliza
pol-859247a2,ase-c8eb26c8,POL-D1D5B9870A64,VEHICULOS,2026-05-03T09:47:46.544305+00:00,2027-05-03T09:47:46.544305+00:00,25154.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-9cf57e2d,ase-bc53ee2a,POL-5167CCFFD3FA,VEHICULOS,2026-04-26T09:47:46.544305+00:00,2027-04-26T09:47:46.544305+00:00,14167.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-4e0af2f1,ase-7ff6b07d,POL-0AA66CFC236D,VEHICULOS,2026-05-21T09:47:46.544305+00:00,2027-05-21T09:47:46.544305+00:00,35617.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-47c1d7d9,ase-dd08c7ca,POL-C917F7C7EB9F,VEHICULOS,2026-05-02T09:47:46.544305+00:00,2027-05-02T09:47:46.544305+00:00,29955.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-31d1e696,ase-11477fd8,POL-C036D8B83289,VEHICULOS,2026-03-29T09:47:46.544305+00:00,2027-03-29T09:47:46.544305+00:00,38014.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-5888c4b7,ase-7d640347,POL-C033E4E91A45,VEHICULOS,2026-05-12T09:47:46.544305+00:00,2027-05-12T09:47:46.544305+00:00,14002.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-c7710889,ase-b75a03df,POL-9E3ED7833499,VEHICULOS,2026-04-10T09:47:46.544305+00:00,2027-04-10T09:47:46.544305+00:00,44033.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-bd0cc086,ase-3f074a26,POL-06E212646841,VEHICULOS,2026-03-31T09:47:46.544305+00:00,2027-03-31T09:47:46.544305+00:00,23638.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-c5f8925d,ase-b3138175,POL-46E4CA994590,VEHICULOS,2026-03-13T09:47:46.544305+00:00,2027-03-13T09:47:46.544305+00:00,34921.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-7ca174a6,ase-282bb35a,POL-BE05CE6C43B2,VEHICULOS,2026-05-07T09:47:46.544305+00:00,2027-05-07T09:47:46.544305+00:00,28951.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-f119764e,ase-8c0106da,POL-FECCF4CBEB19,VEHICULOS,2026-02-28T09:47:46.544305+00:00,2027-02-28T09:47:46.544305+00:00,17923.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-5e7107fe,ase-5b0926b8,POL-3FC58CB3D1CF,VEHICULOS,2026-05-24T09:47:46.544305+00:00,2027-05-24T09:47:46.544305+00:00,37333.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-d5212be2,ase-126338bf,POL-94CCA2118952,VEHICULOS,2026-05-07T09:47:46.544305+00:00,2027-05-07T09:47:46.544305+00:00,26045.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-6458e076,ase-d986069e,POL-7C90A725A931,VEHICULOS,2026-03-06T09:47:46.544305+00:00,2027-03-06T09:47:46.544305+00:00,26752.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-979d314d,ase-31c6476a,POL-6708ED657A7A,VEHICULOS,2026-05-01T09:47:46.544305+00:00,2027-05-01T09:47:46.544305+00:00,29634.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-d024dd0d,ase-af861417,POL-8368F96D15E9,VEHICULOS,2026-04-05T09:47:46.544305+00:00,2027-04-05T09:47:46.544305+00:00,13314.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-6c32df30,ase-c3a83c2d,POL-0B77419E3D64,VEHICULOS,2026-05-26T09:47:46.544305+00:00,2027-05-26T09:47:46.544305+00:00,43070.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-31f289a5,ase-ac3803ef,POL-407CB32E6637,VEHICULOS,2026-03-06T09:47:46.544305+00:00,2027-03-06T09:47:46.544305+00:00,23350.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-365c863c,ase-25e6522d,POL-1B0A568947D6,VEHICULOS,2026-05-26T09:47:46.544305+00:00,2027-05-26T09:47:46.544305+00:00,26664.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-cdc170a5,ase-b31f7d5f,POL-D38F45BA6C32,VEHICULOS,2026-03-11T09:47:46.544305+00:00,2027-03-11T09:47:46.544305+00:00,32018.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-f5624972,ase-4d159e11,POL-302905178C23,VEHICULOS,2026-03-06T09:47:46.544305+00:00,2027-03-06T09:47:46.544305+00:00,30047.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-84514301,ase-fe6128c8,POL-BB4C75E98F57,VEHICULOS,2026-04-09T09:47:46.544305+00:00,2027-04-09T09:47:46.544305+00:00,34853.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-6601bf9e,ase-60d22e7f,POL-4772D33306C6,VEHICULOS,2026-04-25T09:47:46.544305+00:00,2027-04-25T09:47:46.544305+00:00,26300.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-9fabebac,ase-f9c773d8,POL-4E89BF2C3AF0,VEHICULOS,2026-04-19T09:47:46.544305+00:00,2027-04-19T09:47:46.544305+00:00,38027.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-750491dd,ase-5fa62831,POL-E3478A50A63B,VEHICULOS,2026-05-14T09:47:46.544305+00:00,2027-05-14T09:47:46.544305+00:00,12481.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-6e43689e,ase-f5fe996b,POL-53FE0934821C,VEHICULOS,2026-03-04T09:47:46.544305+00:00,2027-03-04T09:47:46.544305+00:00,36525.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-05a9a69e,ase-be22cf57,POL-94DC9631E892,VEHICULOS,2026-03-06T09:47:46.544305+00:00,2027-03-06T09:47:46.544305+00:00,30525.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-a7d444fd,ase-9459f221,POL-8092CE39FE02,VEHICULOS,2026-03-01T09:47:46.544305+00:00,2027-03-01T09:47:46.544305+00:00,19084.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-98d69081,ase-54d339c6,POL-FEC268306A27,VEHICULOS,2026-05-19T09:47:46.544305+00:00,2027-05-19T09:47:46.544305+00:00,34038.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-7b85c057,ase-60e01068,POL-E59CE94B0BB8,VEHICULOS,2026-03-07T09:47:46.544305+00:00,2027-03-07T09:47:46.544305+00:00,33308.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-3cbf6290,ase-bc58a039,POL-40E2A061DD82,VEHICULOS,2026-04-24T09:47:46.544305+00:00,2027-04-24T09:47:46.544305+00:00,31581.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-9b2d41e7,ase-78ae4740,POL-FE389ABDAF17,VEHICULOS,2026-05-08T09:47:46.544305+00:00,2027-05-08T09:47:46.544305+00:00,27748.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-887297be,ase-78f8c76c,POL-D23E7A5D6491,VEHICULOS,2026-03-12T09:47:46.544305+00:00,2027-03-12T09:47:46.544305+00:00,38482.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-38b31d48,ase-4d262cc0,POL-34F05C587128,VEHICULOS,2026-04-17T09:47:46.544305+00:00,2027-04-17T09:47:46.544305+00:00,21170.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-10c1d047,ase-9f97f006,POL-EF723C4A750D,VEHICULOS,2026-05-24T09:47:46.544305+00:00,2027-05-24T09:47:46.544305+00:00,44595.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-dea4dd3a,ase-b939a293,POL-E0031C0FCD4C,VEHICULOS,2026-04-24T09:47:46.544305+00:00,2027-04-24T09:47:46.544305+00:00,39431.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-847b2bef,ase-38f33d37,POL-398ECD923670,VEHICULOS,2026-04-08T09:47:46.544305+00:00,2027-04-08T09:47:46.544305+00:00,14314.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-1d18558a,ase-6ec90fc0,POL-488FC3AE43C5,VEHICULOS,2026-03-15T09:47:46.544305+00:00,2027-03-15T09:47:46.544305+00:00,24446.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-507705f3,ase-b0bfc280,POL-8B69BDC8805B,VEHICULOS,2026-04-29T09:47:46.544305+00:00,2027-04-29T09:47:46.544305+00:00,43177.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-aacff0be,ase-9e91a573,POL-529CB0E89F4B,VEHICULOS,2026-04-12T09:47:46.544305+00:00,2027-04-12T09:47:46.544305+00:00,31673.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-37ee4d16,ase-7d16b8bc,POL-08C1F00FA209,VEHICULOS,2026-03-04T09:47:46.544305+00:00,2027-03-04T09:47:46.544305+00:00,23870.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-d24040bf,ase-48d2880a,POL-70973075FFC5,VEHICULOS,2026-05-15T09:47:46.544305+00:00,2027-05-15T09:47:46.544305+00:00,42853.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-974702f2,ase-e2e43669,POL-4FAC4A1C5EF6,VEHICULOS,2026-04-24T09:47:46.544305+00:00,2027-04-24T09:47:46.544305+00:00,23997.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-801a7a12,ase-e7f7b7aa,POL-2B408A3DF55D,VEHICULOS,2026-04-15T09:47:46.544305+00:00,2027-04-15T09:47:46.544305+00:00,17852.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-4f2efdc1,ase-65611d72,POL-D03FF0D27EAF,VEHICULOS,2026-04-12T09:47:46.544305+00:00,2027-04-12T09:47:46.544305+00:00,26636.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-5f9a0e13,ase-9cbdc03f,POL-A8239AC14C41,VEHICULOS,2026-04-18T09:47:46.544305+00:00,2027-04-18T09:47:46.544305+00:00,39556.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-5650f20a,ase-a95f7b06,POL-1C897E8F9916,VEHICULOS,2026-04-10T09:47:46.544305+00:00,2027-04-10T09:47:46.544305+00:00,29076.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-315b8715,ase-a3a4dcf2,POL-B13430D082E9,VEHICULOS,2026-04-20T09:47:46.544305+00:00,2027-04-20T09:47:46.544305+00:00,42393.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-d1e51bce,ase-a506ea08,POL-8050D0054F31,VEHICULOS,2026-03-28T09:47:46.544305+00:00,2027-03-28T09:47:46.544305+00:00,15517.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-d027d70e,ase-286757b1,POL-79B50352F9E3,VEHICULOS,2026-03-14T09:47:46.544305+00:00,2027-03-14T09:47:46.544305+00:00,16667.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-0cd4a1bd,ase-b639c3e6,POL-5A32FCE21442,VEHICULOS,2026-05-03T09:47:46.544305+00:00,2027-05-03T09:47:46.544305+00:00,44799.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-ca52908d,ase-24b65ecd,POL-A0846C91918A,VEHICULOS,2026-03-01T09:47:46.544305+00:00,2027-03-01T09:47:46.544305+00:00,37013.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-8f7708aa,ase-a32d2849,POL-DFDA401EEAE4,VEHICULOS,2026-04-19T09:47:46.544305+00:00,2027-04-19T09:47:46.544305+00:00,39073.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-7f722f8b,ase-fdc51816,POL-9087C88D8799,VEHICULOS,2026-05-08T09:47:46.544305+00:00,2027-05-08T09:47:46.544305+00:00,21002.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-19748372,ase-55254ad5,POL-E217CD55817C,VEHICULOS,2026-04-14T09:47:46.544305+00:00,2027-04-14T09:47:46.544305+00:00,38816.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-bb336e2e,ase-f65476a2,POL-A0CF0E908A7C,VEHICULOS,2026-03-30T09:47:46.544305+00:00,2027-03-30T09:47:46.544305+00:00,21386.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-34035321,ase-ca999066,POL-4877C9AA0CC7,VEHICULOS,2026-05-04T09:47:46.544305+00:00,2027-05-04T09:47:46.544305+00:00,17296.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-3eb62ce8,ase-4bb66c44,POL-FAFF431A27C6,VEHICULOS,2026-04-15T09:47:46.544305+00:00,2027-04-15T09:47:46.544305+00:00,23588.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-61f32186,ase-def6ef23,POL-558A9CDFD81A,VEHICULOS,2026-03-07T09:47:46.544305+00:00,2027-03-07T09:47:46.544305+00:00,15801.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-988244a0,ase-5f50b156,POL-4B2245F4C75D,VEHICULOS,2026-03-31T09:47:46.544305+00:00,2027-03-31T09:47:46.544305+00:00,29925.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-8213e041,ase-b1e0a4f5,POL-6F9E2CEFE1CF,VEHICULOS,2026-05-06T09:47:46.544305+00:00,2027-05-06T09:47:46.544305+00:00,22383.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-956da557,ase-399792cc,POL-58C5E8AA365E,VEHICULOS,2026-05-16T09:47:46.544305+00:00,2027-05-16T09:47:46.544305+00:00,20480.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-23458430,ase-32721d0a,POL-7A3267A23ECB,VEHICULOS,2026-04-02T09:47:46.544305+00:00,2027-04-02T09:47:46.544305+00:00,40141.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-07d9ad9a,ase-7dd31329,POL-E934D60B9204,VEHICULOS,2026-04-03T09:47:46.544305+00:00,2027-04-03T09:47:46.544305+00:00,43286.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-a0bc8a3d,ase-3a64ac3a,POL-E72C33F772A2,VEHICULOS,2026-05-27T09:47:46.544305+00:00,2027-05-27T09:47:46.544305+00:00,14472.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-5d31f14e,ase-28be2752,POL-A107199BA300,VEHICULOS,2026-05-02T09:47:46.544305+00:00,2027-05-02T09:47:46.544305+00:00,36451.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-da62d841,ase-12ce05e0,POL-BD9E2B1EE0B0,VEHICULOS,2026-04-16T09:47:46.544305+00:00,2027-04-16T09:47:46.544305+00:00,24489.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-183364bb,ase-ac8c1ae0,POL-57D69295EE15,VEHICULOS,2026-03-02T09:47:46.544305+00:00,2027-03-02T09:47:46.544305+00:00,12270.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-a25a8534,ase-ee62e915,POL-0303AEC944DB,VEHICULOS,2026-04-26T09:47:46.544305+00:00,2027-04-26T09:47:46.544305+00:00,26828.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-794d9f4f,ase-e19c3a7a,POL-525AAA93ADAE,VEHICULOS,2026-04-13T09:47:46.544305+00:00,2027-04-13T09:47:46.544305+00:00,32453.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-00cb1011,ase-a0163a7a,POL-23AEFD1AEE5F,VEHICULOS,2026-05-14T09:47:46.544305+00:00,2027-05-14T09:47:46.544305+00:00,37136.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-50120373,ase-ff24c3d1,POL-7AC4342D52A0,VEHICULOS,2026-03-13T09:47:46.544305+00:00,2027-03-13T09:47:46.544305+00:00,32061.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-a792fbfe,ase-91ef2c57,POL-A23595A45288,VEHICULOS,2026-05-19T09:47:46.544305+00:00,2027-05-19T09:47:46.544305+00:00,14996.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-6661660e,ase-b96b50b2,POL-60D1FA1C357A,VEHICULOS,2026-04-20T09:47:46.544305+00:00,2027-04-20T09:47:46.544305+00:00,41879.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-1e2779b0,ase-5c2312c0,POL-F298EA34793A,VEHICULOS,2026-03-22T09:47:46.544305+00:00,2027-03-22T09:47:46.544305+00:00,34140.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-2f728bfa,ase-8fb07356,POL-39FE289B58AC,VEHICULOS,2026-03-01T09:47:46.544305+00:00,2027-03-01T09:47:46.544305+00:00,20768.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-595fa496,ase-fab936cc,POL-70B6A6421557,VEHICULOS,2026-03-26T09:47:46.544305+00:00,2027-03-26T09:47:46.544305+00:00,35543.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-8641ac7f,ase-5f9be591,POL-213B0994350A,VEHICULOS,2026-05-06T09:47:46.544305+00:00,2027-05-06T09:47:46.544305+00:00,38436.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-147c2989,ase-9ccf8967,POL-86114856234D,VEHICULOS,2026-04-28T09:47:46.544305+00:00,2027-04-28T09:47:46.544305+00:00,26701.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-a948e653,ase-6f853419,POL-CD5F57B8AC15,VEHICULOS,2026-05-11T09:47:46.544305+00:00,2027-05-11T09:47:46.544305+00:00,25840.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-af2fbd54,ase-fc579b14,POL-25DBAA56BDA2,VEHICULOS,2026-05-25T09:47:46.544305+00:00,2027-05-25T09:47:46.544305+00:00,23074.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-ce8f61bb,ase-fba8c585,POL-A409F8C64F99,VEHICULOS,2026-04-11T09:47:46.544305+00:00,2027-04-11T09:47:46.544305+00:00,14448.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-7b808e19,ase-a99a61f6,POL-DAA2BC816C56,VEHICULOS,2026-03-07T09:47:46.544305+00:00,2027-03-07T09:47:46.544305+00:00,28763.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-a70a3dbb,ase-a94a1334,POL-BE5D4AF8E279,VEHICULOS,2026-03-09T09:47:46.544305+00:00,2027-03-09T09:47:46.544305+00:00,15184.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-46cc5919,ase-fb48104d,POL-E809E10E0B98,VEHICULOS,2026-05-21T09:47:46.544305+00:00,2027-05-21T09:47:46.544305+00:00,19085.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-e27c49af,ase-10438810,POL-30BB5FA4DABD,VEHICULOS,2026-05-25T09:47:46.544305+00:00,2027-05-25T09:47:46.544305+00:00,15161.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-e25091ab,ase-acbc2186,POL-20A659742137,VEHICULOS,2026-05-13T09:47:46.544305+00:00,2027-05-13T09:47:46.544305+00:00,39313.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-ebd0d54e,ase-11873a37,POL-329F400EB460,VEHICULOS,2026-04-09T09:47:46.544305+00:00,2027-04-09T09:47:46.544305+00:00,20099.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-025fdfe3,ase-d57389a2,POL-A9728C7F3562,VEHICULOS,2026-04-25T09:47:46.544305+00:00,2027-04-25T09:47:46.544305+00:00,43090.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-d9ab3677,ase-35988328,POL-D5B6B9A73309,VEHICULOS,2026-05-08T09:47:46.544305+00:00,2027-05-08T09:47:46.544305+00:00,25467.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-0ca95424,ase-c169375a,POL-5233C8EACF14,VEHICULOS,2026-03-01T09:47:46.544305+00:00,2027-03-01T09:47:46.544305+00:00,12609.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-02c8c82d,ase-d1e1cada,POL-DB553CA02D7A,VEHICULOS,2026-04-04T09:47:46.544305+00:00,2027-04-04T09:47:46.544305+00:00,18617.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-611d045c,ase-d7c33923,POL-8845B8E7095E,VEHICULOS,2026-03-22T09:47:46.544305+00:00,2027-03-22T09:47:46.544305+00:00,29693.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-b9a84d81,ase-abc9fc15,POL-B1F902170509,VEHICULOS,2026-03-11T09:47:46.544305+00:00,2027-03-11T09:47:46.544305+00:00,20989.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-e9525905,ase-fc4c223c,POL-DB7F0B8D330E,VEHICULOS,2026-05-14T09:47:46.544305+00:00,2027-05-14T09:47:46.544305+00:00,19715.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-b8b4dd8b,ase-bb05cfa7,POL-5BD75D6ADE46,VEHICULOS,2026-05-13T09:47:46.544305+00:00,2027-05-13T09:47:46.544305+00:00,18964.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-e3fcf875,ase-f3344109,POL-8362E531F42A,VEHICULOS,2026-05-02T09:47:46.544305+00:00,2027-05-02T09:47:46.544305+00:00,25090.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-dee1eee0,ase-6657b2c8,POL-6EBCC1914C0A,VEHICULOS,2026-03-22T09:47:46.544305+00:00,2027-03-22T09:47:46.544305+00:00,25216.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
