id_siniestro,codigo_siniestro,score_reglas,ml_proba,ml_threshold,ml_alerta,anom_score_0_1,score_final,semaforo,explicacion,cobertura,sucursal,id_proveedor,etiqueta_fraude_simulada
sin-00a7f190,SIN-2026-0011,8,0.13370603311489707,0.75,0,0.251688751463172,13,VERDE,RF-07: Narrativa similar (max_sim=0.94) (+8) | ML prob=0.13 | Anomalía=0.25,ROBO,GUAYAQUIL,prov-b6b79676,0
sin-3185966d,SIN-2026-0012,12,0.3534996122313404,0.75,0,0.04715045886322905,20,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.97) (+8) | ML prob=0.35 | Anomalía=0.05,DAÑOS,MANTA,prov-d14b04f5,0
sin-48ffc5bf,SIN-2026-0013,15,0.414996935837918,0.75,0,0.030142597912467765,24,VERDE,Reporte tardío 4–7d (+3) | Docs incompletos (+4) | RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.41 | Anomalía=0.03,DAÑOS,MANTA,prov-c1720687,0
sin-df25aac9,SIN-2026-0014,19,0.7043242579623912,0.75,0,0.0934123072967758,34,VERDE,Reporte tardío 4–7d (+3) | Docs incompletos (+4) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.94) (+8) | ML prob=0.70 | Anomalía=0.09,CHOQUE,MANTA,prov-b6b79676,0
sin-81271d0f,SIN-2026-0015,11,0.2434618862758727,0.75,0,0.0832555490862714,17,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.24 | Anomalía=0.08,DAÑOS,MANTA,prov-d0f96c49,0
sin-a9276f66,SIN-2026-0016,12,0.4456409790735207,0.75,0,0.09363069726061891,22,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.45 | Anomalía=0.09,CHOQUE,CUENCA,prov-daaaf317,0
sin-da692df2,SIN-2026-0017,18,0.025373301830636776,0.75,0,0.6008424117831925,25,VERDE,RF-02: Evidencia documental (adulteración/inconsistencia) (+10) | RF-07: Narrativa similar (max_sim=0.98) (+8) | ML prob=0.03 | Anomalía=0.60,ROBO,GUAYAQUIL,prov-b6b79676,0
sin-3902782e,SIN-2026-0018,12,0.551093594778702,0.75,0,0.39516801501400295,27,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.94) (+8) | ML prob=0.55 | Anomalía=0.40,ROBO,GUAYAQUIL,prov-b6b79676,0
sin-7e57ff3c,SIN-2026-0019,24,0.9831255170880163,0.75,1,0.4791100106239047,48,AMARILLO,RF-06: Robo con reporte tardío >4d (+8) | Historial asegurado >=3 (+8) | RF-07: Narrativa similar (max_sim=0.97) (+8) | ML prob=0.98 (alerta) | Anomalía=0.48,ROBO,CUENCA,prov-7d13740f,1
sin-8d15ba38,SIN-2026-0020,16,0.9593954236047543,0.75,1,0.491624092769376,40,VERDE,Historial asegurado >=3 (+8) | RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.96 (alerta) | Anomalía=0.49,CHOQUE,GUAYAQUIL,prov-7d13740f,1
sin-117a1f9c,SIN-2026-0021,15,0.6232150698363398,0.75,0,0.09631618691869513,28,VERDE,Reporte tardío 4–7d (+3) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.91) (+8) | ML prob=0.62 | Anomalía=0.10,CHOQUE,CUENCA,prov-d50cab08,0
sin-65aef521,SIN-2026-0022,18,0.1351435734242714,0.75,0,0.1357148417709715,22,VERDE,RF-03: Proveedor en lista restrictiva (+10) | RF-07: Narrativa similar (max_sim=0.94) (+8) | ML prob=0.14 | Anomalía=0.14,DAÑOS,QUITO,prov-0776898a,0
sin-92332679,SIN-2026-0023,12,0.24581146753272418,0.75,0,0.1200299517737058,18,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.25 | Anomalía=0.12,CHOQUE,MANTA,prov-bae1157f,0
sin-54247af5,SIN-2026-0024,11,0.17974358254763503,0.75,0,0.04653149488883531,15,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.96) (+8) | ML prob=0.18 | Anomalía=0.05,CHOQUE,CUENCA,prov-f079cfd7,0
sin-32721387,SIN-2026-0025,15,0.16429821999136807,0.75,0,0.127927240231793,20,VERDE,Reporte tardío 4–7d (+3) | Docs incompletos (+4) | RF-07: Narrativa similar (max_sim=1.00) (+8) | ML prob=0.16 | Anomalía=0.13,ROBO,MANTA,prov-cd675ee2,0
sin-a272bce9,SIN-2026-0026,8,0.02377956865786703,0.75,0,0.20695020302657555,11,VERDE,RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.02 | Anomalía=0.21,CHOQUE,MANTA,prov-249f3d32,0
sin-80e517a2,SIN-2026-0027,12,0.20930848596566856,0.75,0,0.16887104520090798,18,VERDE,Borde de vigencia 11–30d (+4) | RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.21 | Anomalía=0.17,DAÑOS,MANTA,prov-cd675ee2,0
sin-2d6e5440,SIN-2026-0028,11,0.09993346142179713,0.75,0,0.1561972597141615,15,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.99) (+8) | ML prob=0.10 | Anomalía=0.16,DAÑOS,CUENCA,prov-43287921,0
sin-ef3cc5b4,SIN-2026-0029,12,0.3205029731040065,0.75,0,0.3282370914240151,22,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.32 | Anomalía=0.33,CHOQUE,GUAYAQUIL,prov-b28e0eb3,0
sin-6e20ceb8,SIN-2026-0030,8,0.07392323126436692,0.75,0,0.09556274068405017,10,VERDE,RF-07: Narrativa similar (max_sim=0.96) (+8) | ML prob=0.07 | Anomalía=0.10,DAÑOS,GUAYAQUIL,prov-7e95704f,0
sin-8b33de75,SIN-2026-0031,12,0.3985156147329932,0.75,0,0.17602161733854285,22,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.91) (+8) | ML prob=0.40 | Anomalía=0.18,ROBO,QUITO,prov-d3fcaebd,0
sin-75d0fa11,SIN-2026-0032,11,0.396721159654909,0.75,0,0.31701587014884347,22,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=1.00) (+8) | ML prob=0.40 | Anomalía=0.32,ROBO,GUAYAQUIL,prov-5184cb01,0
sin-eb9424a5,SIN-2026-0033,8,0.066070080825063,0.75,0,0.08503566696347098,10,VERDE,RF-07: Narrativa similar (max_sim=0.97) (+8) | ML prob=0.07 | Anomalía=0.09,CHOQUE,CUENCA,prov-b0d3cc8d,0
sin-3b50823a,SIN-2026-0034,15,0.6289555527490355,0.75,0,0.18732825208479212,29,VERDE,Reporte tardío 4–7d (+3) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.97) (+8) | ML prob=0.63 | Anomalía=0.19,DAÑOS,CUENCA,prov-bae1157f,0
sin-317df5f5,SIN-2026-0035,12,0.599278856241865,0.75,0,0.10237724120330283,25,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.96) (+8) | ML prob=0.60 | Anomalía=0.10,DAÑOS,CUENCA,prov-b845ba48,0
sin-6ce709b2,SIN-2026-0036,12,0.6359064985369017,0.75,0,0.05272959143020196,25,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.89) (+8) | ML prob=0.64 | Anomalía=0.05,DAÑOS,QUITO,prov-1827e2a3,0
sin-ae188c22,SIN-2026-0037,8,0.1516243357126313,0.75,0,0.03439413538921754,11,VERDE,RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.15 | Anomalía=0.03,DAÑOS,GUAYAQUIL,prov-e093cb82,0
sin-a1556183,SIN-2026-0038,18,0.023441742764432692,0.75,0,0.75193769155867,26,VERDE,RF-02: Evidencia documental (adulteración/inconsistencia) (+10) | RF-07: Narrativa similar (max_sim=0.97) (+8) | ML prob=0.02 | Anomalía=0.75,ROBO,QUITO,prov-43287921,0
sin-ae6a26b2,SIN-2026-0039,15,0.2749127423400419,0.75,0,0.24678123177783245,23,VERDE,Reporte tardío 4–7d (+3) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.27 | Anomalía=0.25,ROBO,GUAYAQUIL,prov-9ff54158,0
sin-0fc5200a,SIN-2026-0040,15,0.45587547734985046,0.75,0,0.23713843999347073,26,VERDE,Reporte tardío 4–7d (+3) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.46 | Anomalía=0.24,DAÑOS,MANTA,prov-e90c55e9,0
sin-cbe423b6,SIN-2026-0041,8,0.06792549692463537,0.75,0,0.05467705332675061,10,VERDE,RF-07: Narrativa similar (max_sim=0.89) (+8) | ML prob=0.07 | Anomalía=0.05,CHOQUE,MANTA,prov-a0a6b95e,0
sin-4ccf8482,SIN-2026-0042,11,0.1020915642527755,0.75,0,0.14597930114758123,15,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.10 | Anomalía=0.15,CHOQUE,GUAYAQUIL,prov-b72e8592,0
sin-05322d02,SIN-2026-0043,8,0.1394846298151412,0.75,0,0.06946497178751648,11,VERDE,RF-07: Narrativa similar (max_sim=0.94) (+8) | ML prob=0.14 | Anomalía=0.07,DAÑOS,MANTA,prov-c1720687,1
sin-5d93b5f1,SIN-2026-0044,16,0.0622821602626312,0.75,0,0.14716933534870702,19,VERDE,RF-06: Robo con reporte tardío >4d (+8) | RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.06 | Anomalía=0.15,ROBO,MANTA,prov-5ddd5177,0
sin-e553e12e,SIN-2026-0045,11,0.08175684941066451,0.75,0,0.26526506589497223,15,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.90) (+8) | ML prob=0.08 | Anomalía=0.27,DAÑOS,GUAYAQUIL,prov-d0f96c49,1
sin-3f550b32,SIN-2026-0046,16,0.3798552297706785,0.75,0,0.10867551687460426,25,VERDE,Docs incompletos (+4) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.94) (+8) | ML prob=0.38 | Anomalía=0.11,CHOQUE,GUAYAQUIL,prov-7d13740f,0
sin-b68b5a83,SIN-2026-0047,12,0.46075705186333227,0.75,0,0.10608869289235229,22,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.94) (+8) | ML prob=0.46 | Anomalía=0.11,CHOQUE,MANTA,prov-4a51b585,0
sin-df09ff99,SIN-2026-0048,12,0.16833543331957615,0.75,0,0.26751905138545345,18,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.91) (+8) | ML prob=0.17 | Anomalía=0.27,CHOQUE,MANTA,prov-cbe4b286,0
sin-737bba70,SIN-2026-0049,12,0.354517974451507,0.75,0,0.12230915996649402,20,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.89) (+8) | ML prob=0.35 | Anomalía=0.12,ROBO,MANTA,prov-b6b79676,1
sin-5b50ee3f,SIN-2026-0050,8,0.1812035412737566,0.75,0,0.5257038886344847,17,VERDE,RF-07: Narrativa similar (max_sim=0.89) (+8) | ML prob=0.18 | Anomalía=0.53,ROBO,CUENCA,prov-b845ba48,1
sin-1c9fabc5,SIN-2026-0051,21,0.026939597936623722,0.75,0,0.56771461128445,27,VERDE,Reporte tardío 4–7d (+3) | RF-02: Evidencia documental (adulteración/inconsistencia) (+10) | RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.03 | Anomalía=0.57,ROBO,QUITO,prov-5526123f,0
sin-78e3ed6e,SIN-2026-0052,11,0.15643402380465465,0.75,0,0.019068737686717675,14,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.16 | Anomalía=0.02,CHOQUE,MANTA,prov-b0d3cc8d,0
sin-a4356924,SIN-2026-0053,8,0.2458299980984455,0.75,0,0.059595249121628745,14,VERDE,RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.25 | Anomalía=0.06,CHOQUE,CUENCA,prov-e093cb82,0
sin-68fc8203,SIN-2026-0054,11,0.20107907136977854,0.75,0,0.08714073326521692,16,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.97) (+8) | ML prob=0.20 | Anomalía=0.09,ROBO,CUENCA,prov-b6b79676,0
sin-f4a8d6e2,SIN-2026-0055,11,0.47244180692473947,0.75,0,0.11410725485990804,22,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.98) (+8) | ML prob=0.47 | Anomalía=0.11,DAÑOS,QUITO,prov-ea7fe3bc,0
sin-749a46e0,SIN-2026-0056,12,0.07698195021571048,0.75,0,0.2027391417144708,16,VERDE,Docs incompletos (+4) | RF-07: Narrativa similar (max_sim=0.90) (+8) | ML prob=0.08 | Anomalía=0.20,ROBO,GUAYAQUIL,prov-0b906778,0
sin-ef2fdc52,SIN-2026-0057,35,0.030687551020037382,0.75,0,0.670378762271071,42,AMARILLO,Borde de vigencia 11–30d (+4) | Reporte tardío 4–7d (+3) | RF-03: Proveedor en lista restrictiva (+10) | RF-02: Evidencia documental (adulteración/inconsistencia) (+10) | RF-07: Narrativa similar (max_sim=1.00) (+8) | ML prob=0.03,DAÑOS,MANTA,prov-0776898a,0
sin-541f1993,SIN-2026-0058,8,0.04008200242293551,0.75,0,0.09692928731996597,10,VERDE,RF-07: Narrativa similar (max_sim=0.96) (+8) | ML prob=0.04 | Anomalía=0.10,DAÑOS,GUAYAQUIL,prov-b6b79676,0
sin-8455ba42,SIN-2026-0059,12,0.1253879605570546,0.75,0,0.41865440751516186,19,VERDE,Docs incompletos (+4) | RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.13 | Anomalía=0.42,ROBO,QUITO,prov-b6b79676,0
sin-36de702e,SIN-2026-0060,12,0.34737612155789727,0.75,0,0.13455535320210987,20,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.35 | Anomalía=0.13,DAÑOS,QUITO,prov-249f3d32,0
sin-ab344e44,SIN-2026-0061,19,0.8567484377804643,0.75,1,0.19109421996371212,38,VERDE,Reporte tardío 4–7d (+3) | Historial asegurado >=3 (+8) | RF-07: Narrativa similar (max_sim=0.97) (+8) | ML prob=0.86 (alerta) | Anomalía=0.19,DAÑOS,QUITO,prov-0ac26afb,1
sin-8048a624,SIN-2026-0062,8,0.12575118238767533,0.75,0,0.09517772179429976,11,VERDE,RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.13 | Anomalía=0.10,DAÑOS,MANTA,prov-7d13740f,0
sin-e1d09622,SIN-2026-0063,19,0.7453716272059284,0.75,0,0.07695052535805992,35,VERDE,Reporte tardío 4–7d (+3) | Docs incompletos (+4) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.75 | Anomalía=0.08,DAÑOS,CUENCA,prov-1f044dba,0
sin-53b0a3f0,SIN-2026-0064,15,0.14979877977332834,0.75,0,0.18807250824377994,20,VERDE,Borde de vigencia 11–30d (+4) | Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.15 | Anomalía=0.19,CHOQUE,CUENCA,prov-026bdcdd,0
sin-b3bd6aa0,SIN-2026-0065,11,0.08701100511257778,0.75,0,0.10890208289481318,14,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.96) (+8) | ML prob=0.09 | Anomalía=0.11,DAÑOS,GUAYAQUIL,prov-d0f96c49,0
sin-f3d8f46e,SIN-2026-0066,8,0.0341476562263755,0.75,0,0.2561104693277525,11,VERDE,RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.03 | Anomalía=0.26,DAÑOS,MANTA,prov-b845ba48,0
sin-f1e1e2e9,SIN-2026-0067,19,0.5934391320121148,0.75,0,0.06273211985415125,31,VERDE,Reporte tardío 4–7d (+3) | Docs incompletos (+4) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.59 | Anomalía=0.06,CHOQUE,GUAYAQUIL,prov-d8cc4eb4,1
sin-f108683f,SIN-2026-0068,8,0.22745854076210573,0.75,0,0.03935926451503025,13,VERDE,RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.23 | Anomalía=0.04,CHOQUE,QUITO,prov-b6b79676,0
sin-32d025f7,SIN-2026-0069,16,0.6795677512906513,0.75,0,0.1721490658076425,31,VERDE,Borde de vigencia 11–30d (+4) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.97) (+8) | ML prob=0.68 | Anomalía=0.17,DAÑOS,MANTA,prov-4fff042a,0
sin-f2c6938a,SIN-2026-0070,12,0.4440044418741662,0.75,0,0.10798765782537047,22,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.44 | Anomalía=0.11,DAÑOS,QUITO,prov-89589486,1
sin-6e07ce36,SIN-2026-0071,12,0.4837889323361836,0.75,0,0.29307120141734533,25,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=1.00) (+8) | ML prob=0.48 | Anomalía=0.29,DAÑOS,GUAYAQUIL,prov-24e38d8f,0
sin-bcfb4979,SIN-2026-0072,8,0.058080936567497445,0.75,0,0.14176467777415047,11,VERDE,RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.06 | Anomalía=0.14,ROBO,CUENCA,prov-cd675ee2,0
sin-b8e45e67,SIN-2026-0073,12,0.39089657587857674,0.75,0,0.1098955971459465,21,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.99) (+8) | ML prob=0.39 | Anomalía=0.11,CHOQUE,QUITO,prov-026bdcdd,0
sin-5028f4aa,SIN-2026-0074,18,0.12827198564640155,0.75,0,0.5356140481005781,26,VERDE,RF-02: Evidencia documental (adulteración/inconsistencia) (+10) | RF-07: Narrativa similar (max_sim=0.96) (+8) | ML prob=0.13 | Anomalía=0.54,DAÑOS,MANTA,prov-c70782ce,0
sin-36f933ff,SIN-2026-0075,22,0.06872132050797829,0.75,0,0.6064068520268308,29,VERDE,RF-02: Evidencia documental (adulteración/inconsistencia) (+10) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.07 | Anomalía=0.61,CHOQUE,MANTA,prov-c70782ce,0
sin-685be78c,SIN-2026-0076,12,0.2806810829532555,0.75,0,0.16120601273860044,19,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.91) (+8) | ML prob=0.28 | Anomalía=0.16,CHOQUE,GUAYAQUIL,prov-e9ff4cf2,0
sin-fdc3bd4d,SIN-2026-0077,12,0.3565880146917169,0.75,0,0.16976744200749666,21,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.36 | Anomalía=0.17,ROBO,GUAYAQUIL,prov-5184cb01,0
sin-23e69288,SIN-2026-0078,21,0.05193970453539201,0.75,0,0.17033857577679604,24,VERDE,Reporte tardío 4–7d (+3) | RF-03: Proveedor en lista restrictiva (+10) | RF-07: Narrativa similar (max_sim=0.98) (+8) | ML prob=0.05 | Anomalía=0.17,CHOQUE,MANTA,prov-0776898a,0
sin-d1b191ca,SIN-2026-0079,16,0.58811341554741,0.75,0,0.06741873953061985,28,VERDE,Docs incompletos (+4) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.59 | Anomalía=0.07,DAÑOS,CUENCA,prov-d14b04f5,0
sin-62787ce9,SIN-2026-0080,11,0.1606524864803081,0.75,0,0.10582159149216332,15,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.97) (+8) | ML prob=0.16 | Anomalía=0.11,DAÑOS,MANTA,prov-0b906778,0
sin-769b98b3,SIN-2026-0081,8,0.038123780946397616,0.75,0,0.14084203649228796,10,VERDE,RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.04 | Anomalía=0.14,ROBO,QUITO,prov-67084ff8,0
sin-2e7782ab,SIN-2026-0082,22,0.03075208303468625,0.75,0,0.20427578703561317,25,VERDE,Borde de vigencia 11–30d (+4) | RF-03: Proveedor en lista restrictiva (+10) | RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.03 | Anomalía=0.20,CHOQUE,MANTA,prov-0776898a,0
sin-5781b340,SIN-2026-0083,15,0.4417861171599818,0.75,0,0.16192206618520288,25,VERDE,Reporte tardío 4–7d (+3) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.96) (+8) | ML prob=0.44 | Anomalía=0.16,CHOQUE,MANTA,prov-5184cb01,0
sin-e1f96eed,SIN-2026-0084,20,0.49930035734849004,0.75,0,0.42150418700628667,34,VERDE,RF-06: Robo con reporte tardío >4d (+8) | Docs incompletos (+4) | RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.50 | Anomalía=0.42,ROBO,MANTA,prov-d3fcaebd,0
sin-9f4ab5b2,SIN-2026-0085,8,0.21345243668181849,0.75,0,0.0,12,VERDE,RF-07: Narrativa similar (max_sim=0.96) (+8) | ML prob=0.21 | Anomalía=0.00,DAÑOS,QUITO,prov-c1720687,0
sin-1ced4bf5,SIN-2026-0086,12,0.2479547223308669,0.75,0,0.11434355018180235,18,VERDE,Borde de vigencia 11–30d (+4) | RF-07: Narrativa similar (max_sim=1.00) (+8) | ML prob=0.25 | Anomalía=0.11,DAÑOS,QUITO,prov-7d784f3a,0
sin-4b1fe4bd,SIN-2026-0087,15,0.42473717439452136,0.75,0,0.24208024399223882,26,VERDE,Reporte tardío 4–7d (+3) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.96) (+8) | ML prob=0.42 | Anomalía=0.24,DAÑOS,MANTA,prov-5526123f,0
sin-e948c895,SIN-2026-0088,12,0.6331665392372107,0.75,0,0.15172256889071986,26,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.63 | Anomalía=0.15,DAÑOS,CUENCA,prov-48386eb3,0
sin-f0683049,SIN-2026-0089,15,0.27378813664072627,0.75,0,0.1957166028858168,22,VERDE,Borde de vigencia 11–30d (+4) | Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.27 | Anomalía=0.20,CHOQUE,GUAYAQUIL,prov-c1720687,0
sin-bbdb5e9f,SIN-2026-0090,12,0.2166867744493476,0.75,0,0.05674578236055091,17,VERDE,Docs incompletos (+4) | RF-07: Narrativa similar (max_sim=0.99) (+8) | ML prob=0.22 | Anomalía=0.06,ROBO,QUITO,prov-cbe4b286,0
sin-f0f6d70b,SIN-2026-0091,8,0.04818466908932595,0.75,0,0.2413641912288706,11,VERDE,RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.05 | Anomalía=0.24,CHOQUE,MANTA,prov-a0a6b95e,0
sin-81084eef,SIN-2026-0092,12,0.31025949388847185,0.75,0,0.26542052242669906,21,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.91) (+8) | ML prob=0.31 | Anomalía=0.27,ROBO,GUAYAQUIL,prov-7d784f3a,0
sin-bbe74fa7,SIN-2026-0093,12,0.4588863411901968,0.75,0,0.12791456767857698,22,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.91) (+8) | ML prob=0.46 | Anomalía=0.13,CHOQUE,GUAYAQUIL,prov-d14b04f5,0
sin-230ca6b0,SIN-2026-0094,11,0.315872682292695,0.75,0,0.42483524695765984,22,VERDE,Reporte tardío 4–7d (+3) | RF-07: Narrativa similar (max_sim=0.98) (+8) | ML prob=0.32 | Anomalía=0.42,ROBO,GUAYAQUIL,prov-4a51b585,0
sin-3c96489f,SIN-2026-0095,12,0.6415232878056855,0.75,0,0.21044678284774088,27,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.64 | Anomalía=0.21,CHOQUE,CUENCA,prov-b0d3cc8d,0
sin-b614e87f,SIN-2026-0096,12,0.2347192552179827,0.75,0,0.178463395602574,18,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.23 | Anomalía=0.18,DAÑOS,GUAYAQUIL,prov-b0d3cc8d,0
